onset	duration
7.007	2.981
15.906	2.498
22.873	1.187
30.839	1.517
42.821	1.191
46.788	0.904
53.754	0.986
63.72	1.108
70.686	1.198
82.669	2.983
87.635	1.361
98.601	4
111.6	3.028
120.566	2.214
126.533	2.143
132.516	2.864
143.481	2.379
155.447	1.605
167.413	1.767
172.38	2.36
176.363	1.297
185.329	1.179
195.295	4
202.294	2.014
207.261	1.135
218.227	2.217
225.21	2.89
233.176	1.348
240.142	2.694
244.108	4
249.108	1.304
253.091	1.129
260.057	0.899
269.023	1.317
273.99	2.102
282.956	1.368
290.939	1.129
295.905	2.507
300.871	1.221
308.837	1.151
321.82	1.488
326.786	2.594
331.753	2.347
336.719	1.973
348.685	3.271
357.668	3.416
363.634	1.626
368.6	2.356
375.566	2.966
385.549	1.887
392.515	3.265
405.481	3.947
410.448	1.476
423.43	1.302
432.396	2.816
438.362	1.306
448.328	2.132
461.311	1.573
472.277	1.983
480.243	1.313
485.209	1.843
492.176	1.044
498.158	1.126
509.124	1.848
516.091	2.785
524.057	1.643
529.04	1.46
537.006	1.19
549.972	2.088
561.938	3.25
565.921	1.963
579.887	3.413
589.853	1.583
600.818	2.466
