onset	duration
7.022	3.392
22.938	3.204
39.92	5.126
51.869	5.817
69.851	3.787
88.817	4.629
103.799	5.479
119.748	6.002
131.731	8.411
147.713	5.773
164.679	4.527
177.645	4.465
192.61	6.452
211.576	5.198
228.558	7.536
245.524	5.97
256.49	4.668
267.456	3.11
279.422	3.968
292.404	5.338
305.353	2.733
322.352	4.798
339.318	6.608
352.284	5.194
370.249	5.989
382.232	5.302
399.181	5.793
414.163	3.571
425.129	2.853
438.095	5.103
452.061	3.473
470.026	6.612
482.009	6.509
498.958	3.224
514.94	3.482
525.906	4.044
540.872	4.63
558.854	3.96
575.803	3.307
586.785	1.645
