onset	duration
7.012	6.939
22.905	9.206
39.878	6.281
51.852	10
69.852	5.563
81.812	3.835
97.785	4.718
114.758	7.273
127.732	10
142.732	7.715
161.692	5.859
178.665	10
195.665	3.758
214.638	9.489
234.612	9.651
253.572	3.067
264.545	6.878
275.518	5.705
287.492	4.035
297.452	5.411
313.425	6.942
330.398	4.313
347.372	5.123
360.332	7.035
378.305	6.966
390.278	5.033
407.252	3.827
422.212	9.811
433.185	3.998
446.158	6.145
460.132	4.267
478.092	7.155
490.065	7.206
507.038	8.225
523.012	6.707
535.972	4.875
550.945	7.446
569.918	4.642
580.892	10
590.905	0.126
