onset	duration
7.001	2.927
22.907	1.557
39.881	5.615
51.841	2.111
69.814	3.418
88.787	2.669
108.747	5.285
127.721	2.895
139.694	9.69
155.654	10
172.654	1.93
185.627	2.629
200.601	2.199
219.561	4.463
236.534	2.226
253.507	4.229
264.467	3.597
275.441	2.127
287.414	8.706
297.374	6.698
313.347	3.157
330.321	1.663
347.281	3.127
360.254	10
378.254	3.506
390.227	2.429
407.187	3.581
422.161	7.199
433.134	1.938
446.107	2.341
460.067	1.701
478.04	10
490.04	2.232
507.014	2.746
522.987	2.573
535.947	3.717
550.92	2.376
569.894	5.338
580.854	2.626
590.827	8.829
