onset	duration
7.012	5
16.011	2.943
20.978	3.048
33.944	3.266
48.926	2.548
62.892	2.542
69.858	3.432
83.824	2.218
93.806	2.5
105.772	2.822
112.739	3.359
121.705	3.113
134.687	2.771
147.653	2.317
158.619	2.167
167.585	2.793
174.551	2.291
184.534	2.868
193.5	2.23
207.466	2.088
219.432	2.554
229.398	3.532
242.38	1.982
254.346	2.56
268.312	3.082
279.278	2.428
291.244	2.27
299.227	2.943
304.193	2.513
315.159	3.603
322.126	2.14
331.092	2.918
341.058	1.992
353.04	3.114
364.006	3.148
376.972	1.782
387.938	2.496
399.921	2.081
406.887	2.659
413.853	3.277
420.819	3.135
426.786	2.192
432.769	2.617
443.735	2.699
451.701	2.477
460.667	3.591
467.65	2.048
478.616	2.322
490.582	2.132
502.548	3.158
508.531	3.032
514.497	2.649
522.463	2.988
532.429	3.302
539.412	3.215
547.378	1.873
559.344	2.627
565.31	2.189
573.293	2.054
586.259	2.504
