onset	duration
7.004	2.73
22.903	2.351
39.869	5.026
51.852	3.114
69.817	4.517
88.783	3.559
108.748	3.666
127.73	2.781
139.696	5.798
155.662	10
172.661	2.954
185.627	5.652
200.609	2.07
219.575	6.704
236.54	1.931
253.522	5.765
264.488	7.783
275.454	4.449
287.42	3.971
297.403	6.428
313.369	4.086
330.334	2.089
347.3	8.811
360.266	10
378.281	5.478
390.247	3.256
407.213	5.874
422.179	6.9
433.161	6.358
446.127	5.696
460.093	2.898
478.058	6.701
490.024	3.167
507.007	2.312
522.972	3.139
535.938	3.269
550.904	3.551
569.886	3.361
580.852	2.587
590.818	3.933
