onset	duration
7.005	8.111
22.898	7.674
39.872	10
51.872	6.004
69.845	5.959
81.818	3.538
97.778	4.762
114.752	5.116
127.725	4.983
142.685	6.727
161.658	3.714
178.632	7.108
195.592	3.868
214.565	6.447
234.538	8.602
253.498	3.402
264.471	7.141
275.445	8.247
287.405	7.927
297.378	5.698
313.351	6.277
330.325	7.687
347.285	3.631
360.258	7.378
378.231	6.829
390.205	5.479
407.165	5.831
422.138	7.042
433.111	7.333
446.084	8.24
460.044	7.496
478.018	7.714
489.991	7.789
506.964	5.928
522.924	7.992
535.898	5.642
550.871	4.397
569.844	5.792
580.818	3.642
590.778	3.417
