onset	duration
7.011	1.822
15.911	3.202
22.877	2.364
30.843	1.678
42.825	1.896
46.792	1.921
53.758	1.699
63.741	0.98
70.707	1.198
82.673	1.76
87.639	0.898
98.622	2.067
111.588	1.957
120.554	1.447
126.537	1.456
132.503	1.474
143.469	0.868
155.435	1.718
167.418	2.511
172.384	0.889
176.35	1.003
185.333	0.916
195.299	0.806
202.265	2.688
207.232	2.769
218.214	1.467
225.181	2.5
233.147	0.894
240.113	1.464
244.096	1.233
249.063	1.338
253.029	1.596
259.995	1.902
268.978	1.015
273.944	1.265
282.91	1.331
290.877	1.34
295.86	0.917
300.826	1.551
308.792	1.801
321.758	1.979
326.741	1.964
331.707	0.894
336.674	2.319
348.64	2.921
357.622	0.779
363.589	0.804
368.555	1.222
375.521	1.136
385.487	1.386
392.47	1.219
405.436	1.509
410.402	2.903
423.368	1.713
432.351	0.986
438.317	2.292
448.283	1.286
461.249	2.08
472.232	1.361
480.198	1.843
485.164	1.909
492.131	1.926
498.097	2.208
509.08	1.265
516.046	1.859
524.012	2.229
528.978	1.967
536.961	0.968
549.927	1.674
561.893	1.508
565.859	1.238
579.842	0.935
589.808	1.401
600.774	0.947
