onset	duration
7.006	4.963
22.9	9.173
39.873	7.144
51.846	9.803
69.82	6.589
81.78	3.997
97.753	5.936
114.726	6.283
127.686	8.955
142.66	7.789
161.633	7.12
178.593	10
195.593	6.096
214.566	6.963
234.54	4.389
253.5	4.709
264.473	7.656
275.446	5.651
287.42	3.173
297.38	4.797
313.353	7.984
330.326	3.539
347.286	4.915
360.26	5.949
378.233	5.432
390.193	4.688
407.166	4.787
422.14	6.861
433.113	3.728
446.073	7.216
460.047	4.602
478.02	6.141
489.98	5.997
506.953	7.241
522.927	4.946
535.9	7.429
550.86	7.878
569.833	5.16
580.807	5.738
590.78	4.629
