onset	duration
7.008	3.824
22.901	9.219
39.874	3.822
51.848	7.592
69.821	10
81.821	4.187
97.794	4.342
114.754	9.278
127.728	7.848
142.701	5.987
161.674	2.894
178.634	7.638
195.608	5.28
214.581	6.579
234.554	5.814
253.514	4.518
264.488	7.552
275.461	4.043
287.421	3.891
297.394	8.574
313.368	9.336
330.341	6.403
347.301	5.107
360.274	7.166
378.248	8.792
390.208	6.568
407.181	4.083
422.154	8.27
433.128	5.208
446.088	5.248
460.061	7.811
478.034	4.382
489.994	7.646
506.968	6
522.941	6.483
535.901	4.659
550.875	6.669
569.848	5.304
580.808	5.52
590.781	1.843
