onset	duration
7.022	2.888
22.942	6.432
39.902	6.752
51.875	5.755
69.835	7.891
88.808	3.911
103.795	2.347
119.741	4.001
131.715	4.443
147.688	3.758
164.661	7.169
177.635	8.091
192.608	7.718
211.568	5.366
228.541	10
245.541	3.441
256.515	3.515
267.474	4.524
279.434	5.892
292.421	8.977
305.368	8.942
322.354	3.1
339.328	3.662
352.288	3.982
370.261	4.593
382.234	2.236
399.181	5.065
414.168	8.494
425.141	4.465
438.101	3.537
452.074	7.54
470.048	6.862
482.021	7.425
498.967	5.399
514.954	2.548
525.927	2.495
540.887	2.791
558.874	3.004
575.821	8.609
586.807	1.975
