onset	duration
7.019	2.152
15.925	1.958
22.885	2.55
30.859	2.032
42.832	1.635
46.792	1.883
53.765	2.366
63.739	1.928
70.712	1.779
82.672	1.643
87.645	1.31
98.618	3.121
111.592	2.899
120.552	1.675
126.525	2.59
132.498	2.121
143.472	1.699
155.432	2.187
167.405	2.438
172.378	1.921
176.352	0.987
185.312	1.907
195.285	1.126
202.258	1.745
207.232	1.995
218.192	2.691
225.165	1.758
233.138	1.249
240.112	1.587
244.072	1.683
249.045	1.982
253.018	1.449
259.992	1.235
268.965	1.35
273.925	1.598
282.898	1.137
290.872	0.955
295.845	1.102
300.805	1.31
308.778	1.129
321.752	1.371
326.725	0.814
331.685	0.99
336.658	1.641
348.632	2.043
357.605	1.03
363.565	1.166
368.538	1.241
375.512	2.035
385.485	1.686
392.445	1.43
405.418	2.793
410.392	2.691
423.365	2.102
432.325	1.414
438.298	2.329
448.272	2.731
461.245	2.07
472.205	1.75
480.178	1.793
485.152	1.195
492.125	1.838
498.085	3.046
509.058	1.217
516.032	2.427
524.005	1.19
528.978	2.121
536.938	1.225
549.912	1.699
561.885	1.462
565.858	1.417
579.818	1.201
589.792	1.323
600.765	2.718
