onset	duration
7.022	9.311
22.921	2.652
39.887	10
51.886	2.103
69.868	5.025
88.834	3.259
108.799	9.142
127.765	2.288
139.747	9.011
155.713	10
172.712	3.885
185.678	6.247
200.644	4.217
219.626	5.068
236.591	10
253.59	3.504
264.556	6.578
275.522	5.676
287.505	4.373
297.471	5.871
313.437	3.097
330.402	10
347.418	5.884
360.384	8.742
378.349	10
390.348	3.642
407.314	3.708
422.296	7.094
433.262	7.792
446.228	9.962
460.211	6.683
478.193	5.237
490.159	5.815
507.141	4.369
523.107	3.227
536.073	6.573
551.038	7.896
570.02	7.778
580.986	5.82
590.952	5.702
