onset	duration
7.016	6.718
22.915	6.067
39.881	3.589
51.847	5.311
69.812	4.618
81.795	2.954
97.76	3.213
114.726	5.52
127.692	6.298
142.674	4.123
161.64	4.293
178.605	3.664
195.587	6.291
214.553	7.308
234.518	7.608
253.484	3.409
264.466	6.86
275.432	3.837
287.398	2.695
297.364	5.681
313.346	4.355
330.312	2.445
347.278	3.143
360.243	4.186
378.226	4.547
390.192	4.637
407.157	4.688
422.123	6.362
433.105	3.388
446.071	7.83
460.037	5.672
478.003	4.81
489.985	4.844
506.951	5.278
522.916	3.385
535.882	5.163
550.865	6.692
569.83	4.935
580.796	7.873
590.762	3.635
