onset	duration
50.099	2.832
65.098	2.625
76.064	2.803
89.03	2.549
95.996	4.599
106.979	2.416
171.008	4.747
183.991	3.284
196.973	3.486
208.939	3.104
224.905	5.474
232.871	2.716
296.917	3.526
305.9	6
312.916	2.807
323.882	3.641
334.848	3.419
343.814	3.109
407.843	2.8
416.826	3.737
426.808	2.907
433.775	2.228
443.741	2.702
454.707	3.688
518.736	6
528.752	2.251
542.734	3.165
558.7	2.383
574.666	2.537
585.632	2.627
