onset	duration
7.01	2.558
15.91	1.634
22.876	2.004
30.842	1.734
42.808	1.896
46.791	1.577
53.757	1.691
63.723	1.837
70.69	2.198
82.655	4
87.655	1.609
98.638	3.186
111.604	2.804
120.57	2.222
126.536	3.376
132.502	2.546
143.485	2.651
155.451	1.997
167.417	2.751
172.383	2.681
176.349	1.483
185.316	1.436
195.298	2.358
202.264	2.304
207.231	1.241
218.197	1.923
225.163	2.925
233.146	1.51
240.112	2.568
244.078	2.698
249.045	1.363
253.011	1.125
259.977	1.119
268.96	1.552
273.926	1.266
282.893	1.443
290.859	1.293
295.825	2.623
300.791	1.441
308.774	1.714
321.74	1.708
326.706	2.67
331.673	1.903
336.639	2.137
348.622	3.706
357.588	1.972
363.554	2.046
368.52	2.464
375.487	2.569
385.469	3.595
392.436	2.884
405.401	2.535
410.368	1.384
423.334	1.706
432.316	2.268
438.283	1.653
448.249	4
461.248	1.088
472.214	1.786
480.18	1.404
485.163	1.189
492.129	1.375
498.095	1.273
509.061	2.907
516.028	2.924
524.01	2.398
528.977	1.207
536.943	1.625
549.909	1.803
561.875	2.869
565.858	1.326
579.823	2.993
589.789	1.699
600.755	4
