onset	duration
7.011	2.857
15.904	3.028
20.878	4.054
33.838	2.998
48.811	2.625
62.784	3.332
69.758	4.022
83.718	3.046
93.691	2.585
105.664	3.356
112.624	2.78
121.598	4.23
134.571	3.177
147.544	3.22
158.504	2.524
167.478	4.734
174.451	2.913
184.424	2.948
193.384	2.82
207.358	2.622
219.331	2.737
229.291	4.561
242.264	2.588
254.237	3.119
268.197	3.775
279.171	3.585
291.144	3.004
299.117	2.783
304.077	3.711
315.051	3.529
322.024	3.012
330.984	2.908
340.957	2.695
352.931	3.081
363.891	3.409
376.864	4.02
387.837	3.319
399.811	3.129
406.771	2.673
413.744	2.668
420.717	2.743
426.677	2.423
432.651	3.185
443.624	2.66
451.597	3.183
460.557	3.511
467.531	2.265
478.504	3.38
490.477	4.903
502.437	2.663
508.41	4.258
514.384	3.212
522.357	3.551
532.317	4.143
539.29	3.282
547.264	3.388
559.224	4.1
565.197	2.495
573.17	3.826
586.144	3.38
