onset	duration
7.02	2.521
15.919	1.31
20.902	1.775
33.868	1.345
48.834	1.322
62.799	1.853
69.782	1.662
83.748	1.552
93.714	3.074
105.697	1.739
112.663	2.229
121.629	1.647
134.595	1.417
147.577	1.267
158.543	1.749
167.509	1.647
174.476	1.376
184.441	1.475
193.424	1.252
207.39	1.422
219.356	1.576
229.322	1.978
242.304	1.22
254.27	1.478
268.236	1.624
279.202	1.162
291.185	1.491
299.151	1.397
304.117	1.431
315.083	1.561
322.049	1.235
331.032	1.964
340.998	1.622
352.964	1.496
363.93	1.602
376.912	1.316
387.878	1.926
399.844	1.448
406.81	1.306
413.776	2.18
420.759	1.421
426.726	1.222
432.692	0.928
443.658	1.938
451.641	1.035
460.607	1.381
467.573	1.247
478.539	1.249
490.521	1.075
502.487	1.469
508.454	1.79
514.42	1.512
522.403	1.553
532.369	1.139
539.335	1.621
547.301	1.479
559.284	1.576
565.25	1.226
573.216	1.22
586.182	1.398
