onset	duration
7.008	1.506
15.901	1.285
22.875	1.015
30.848	1.138
42.821	1.517
46.781	1.301
53.755	1.327
63.728	1.226
70.701	1.421
82.661	2.701
87.635	1.255
98.608	2.618
111.581	3.717
120.541	2.677
126.515	1.615
132.488	3.258
143.461	3.029
155.421	3.021
167.395	2.327
172.368	2.194
176.341	1.237
185.301	1.157
195.275	2.591
202.248	1.594
207.221	1.381
218.181	2.373
225.155	2.687
233.128	1.77
240.101	2.677
244.061	2.061
249.035	1.255
253.008	1.106
259.981	2.093
268.941	1.653
273.915	1.559
282.888	1.546
290.861	1.341
295.821	3.917
300.794	1.456
308.768	1.386
321.741	1.333
326.701	2.573
331.674	2.28
336.648	3.002
348.621	2.965
357.581	3.077
363.554	2.208
368.528	1.842
375.501	3.053
385.461	2.605
392.434	2.08
405.408	2.402
410.381	1.581
423.341	1.661
432.314	2.272
438.288	1.69
448.261	3.412
461.221	2.173
472.194	2.704
480.168	2.65
485.141	1.636
492.101	2.3
498.074	1.864
509.048	4
516.048	2.249
524.021	2.117
528.981	1.524
536.954	1.184
549.928	2.233
561.901	2.364
565.861	1.252
579.834	2.751
589.808	1.409
600.781	2.732
