onset	duration
7	5
16	3.875
20.973	5
33.973	5
48.973	5
62.973	4.822
69.947	4.872
83.92	5
93.92	2.427
105.88	2.635
112.853	3.222
121.827	3.168
134.8	3.219
147.76	3.803
158.733	5
167.733	3.246
174.707	4.104
184.667	3.96
193.64	2.659
207.614	3.597
219.587	4.448
229.547	3.208
242.52	2.243
254.494	4.917
268.467	5
279.467	2.944
291.427	3.52
299.4	3.395
304.374	4.053
315.347	5
322.347	3.56
331.307	3.4
341.28	5
353.28	3.891
364.254	4.173
377.227	2.848
388.187	4.296
400.16	2.891
407.134	3.413
414.094	5
421.094	3.973
427.067	4.88
433.04	4.515
444.014	2.789
451.974	5
460.974	2.205
467.947	2.785
478.92	5
490.92	5
502.92	3.259
508.894	4.278
514.867	4.969
522.84	2.699
532.827	5
539.84	4.563
547.8	3.22
559.774	3.55
565.747	3.904
573.72	2.619
586.68	3.027
