onset	duration
7.025	5
16.024	3.405
20.984	4.229
33.958	3.903
48.931	3.65
62.891	3.37
69.864	2.325
83.838	3.255
93.811	3.706
105.771	2.826
112.744	3.645
121.718	4.439
134.691	3.138
147.651	2.33
158.624	2.749
167.597	3.544
174.571	2.914
184.544	2.845
193.504	3.629
207.477	3.56
219.451	3.746
229.411	3.314
242.384	3.725
254.357	2.736
268.331	3.634
279.304	3.245
291.264	3.501
299.237	2.96
304.21	5
315.21	3.146
322.184	3.076
331.157	3.223
341.117	3.288
353.09	3.314
364.064	3.228
377.037	3.191
387.997	2.519
399.97	3.075
406.944	2.964
413.917	3.559
420.877	3.519
426.85	3.73
432.824	3.54
443.783	3.309
451.757	2.679
460.73	3.002
467.703	3.285
478.663	3.701
490.637	3.383
502.61	3.746
508.57	3.45
514.543	2.629
522.517	3.103
532.49	3.338
539.45	3.25
547.423	3.397
559.397	2.967
565.357	2.503
573.33	2.722
586.303	2.965
