onset	duration
7.009	3.546
22.916	2.935
39.903	3.844
51.849	4.082
69.823	3.204
88.796	5.455
103.783	3.364
119.729	5.802
131.716	6.383
147.689	7.218
164.649	4.186
177.623	5.86
192.596	5.751
211.556	3.791
228.529	4.746
245.503	5.132
256.476	3.543
267.436	5.063
279.396	4.951
292.383	5.508
305.343	3.652
322.329	3.746
339.289	4.178
352.263	4.828
370.223	3.196
382.196	5.551
399.156	5.167
414.156	3.007
425.103	4.436
438.076	6.215
452.049	3.698
470.023	6.964
481.982	3.469
498.943	2.98
514.929	4.346
525.903	4.172
540.862	5.357
558.836	2.799
575.809	3.754
586.769	2.25
