onset	duration
7.004	4
16.004	3.278
22.978	2.992
30.951	3.283
42.924	4
46.938	0.792
53.938	2.368
63.898	2.336
70.871	1.659
82.844	2.39
87.818	1.584
98.791	2.867
111.764	4
120.764	2.422
126.724	3.134
132.697	1.952
143.671	2.21
155.644	2.517
167.617	3.232
172.577	2.056
176.551	1.754
185.524	1.613
195.497	1.68
202.457	3.616
207.431	2.914
218.404	2.613
225.377	2.592
233.337	1.752
240.311	2.81
244.284	1.293
249.257	4
253.271	0.01
260.271	2.53
269.23	1.827
274.204	2.181
283.177	1.648
291.15	2.315
296.11	1.443
301.084	2.133
309.057	2.304
322.03	2.595
326.99	2.011
331.964	1.453
336.937	2.36
348.91	3.899
357.87	1.323
363.844	1.637
368.817	2.48
375.79	3.251
385.75	1.835
392.724	2.221
405.697	3.224
410.67	4
423.67	2.811
432.643	1.542
438.617	2.44
448.577	3.272
461.55	3.915
472.523	1.934
480.497	1.848
485.47	1.875
492.443	2.518
498.403	2.814
509.377	2.144
516.35	3.107
524.323	2.998
529.297	2.872
537.27	1.891
550.23	2.107
562.203	2.006
566.177	3.304
580.15	1.379
590.123	3.534
601.096	1.265
