onset	duration
7.123	8.466
23.056	7.149
40.039	7.23
51.937	5.692
69.953	6.604
88.852	6.65
108.8	4.35
127.883	5.898
139.782	9.863
155.714	9.979
172.695	7.31
185.813	7.424
200.678	7.247
219.592	10
236.726	6.655
253.708	5.545
264.558	9.399
275.574	4.791
287.473	6.196
297.456	9.341
313.403	8.138
330.538	4.979
347.351	10
360.452	4.745
378.316	10
390.384	8.325
407.349	7.249
422.247	7.63
433.264	8.485
446.214	10
460.212	9.641
478.228	10
490.311	4.638
507.125	8.024
523.209	6.588
536.159	8.494
551.039	10
570.106	4.987
581.139	7.354
591.105	6.868
