onset	duration
7.026	4.823
22.924	4.653
39.89	6.503
51.856	2.777
69.838	6.027
88.804	6.141
108.769	6.672
127.734	3.931
139.717	6.38
155.683	5.15
172.648	4.185
185.614	4.835
200.58	5.149
219.562	7.783
236.527	5.29
253.493	6.052
264.459	6.878
275.425	7.24
287.407	7.322
297.373	6.204
313.339	5.822
330.305	3.216
347.27	6.787
360.253	5.852
378.218	5.271
390.184	6.233
407.15	6.139
422.115	4.798
433.081	6.56
446.064	5.897
460.029	4.58
477.995	6.518
489.961	6.544
506.943	5.506
522.909	8.22
535.875	4.806
550.84	6.569
569.806	5.171
580.788	4.485
590.754	5.887
