onset	duration
7.01	4.372
15.91	4.512
20.876	3.986
33.842	3.94
48.824	4.278
62.79	3.32
69.756	2.698
83.722	2.772
93.688	5
105.687	2.783
112.67	2.76
121.636	2.85
134.602	3.516
147.568	2.15
158.55	2.44
167.516	3.034
174.483	3.027
184.449	1.861
193.415	2.879
207.397	2.257
219.363	2.475
229.329	3.501
242.295	2.079
254.261	2.601
268.243	3.683
279.209	3.069
291.175	2.703
299.141	2.385
304.108	2.234
315.074	2.94
322.056	2.59
331.023	2.807
340.989	3.097
352.954	3.877
363.937	3.389
376.903	3.815
387.869	3.153
399.835	3.131
406.801	3.381
413.784	3.462
420.75	2.24
426.716	2.682
432.683	2.835
443.649	2.669
451.615	3.079
460.597	2.913
467.564	2.45
478.53	4.196
490.496	2.91
502.461	1.857
508.444	3.266
514.411	2.691
522.377	2.741
532.343	3.183
539.326	3.416
547.292	2.29
559.258	2.836
565.224	3.078
573.19	3.048
586.173	3.065
