onset	duration
7	1.765
15.9	2.473
22.883	4
30.882	2.427
42.848	1.701
46.814	2
53.781	2.52
63.763	2.146
70.73	1.291
82.695	3.614
87.679	1.087
98.645	2.952
111.61	3.467
120.576	2.509
126.559	3.062
132.526	1.479
143.492	1.201
155.474	2.38
167.44	4
172.44	1.31
176.406	1.16
185.372	1.394
195.355	1.515
202.321	2.717
207.288	2.838
218.254	2.752
225.237	2.617
233.203	1.275
240.169	2.757
244.152	1.39
249.118	1.544
253.085	2.561
260.051	3.835
269.034	2.42
274	1.694
282.966	2.64
290.932	1.93
295.915	0.939
300.882	2.164
308.848	1.598
321.814	2.72
326.797	1.313
331.763	1.187
336.73	2.22
348.712	2.75
357.678	1.296
363.645	1.657
368.611	2.291
375.594	1.628
385.56	1.766
392.526	1.752
405.509	3.529
410.475	3.219
423.441	2.517
432.407	1.391
438.39	3.096
448.356	3.41
461.322	2.228
472.304	1.47
480.271	1.399
485.237	2.249
492.203	1.923
498.186	3.324
509.152	1.598
516.118	2.4
524.101	1.769
529.068	3.058
537.034	0.98
550	2.71
561.982	1.52
565.948	1.77
579.914	1.252
589.88	2.638
600.863	1.255
