onset	duration
7.126	4.116
16.059	2.151
20.959	3.347
33.908	4.118
48.957	3.013
62.956	3.254
69.787	2.487
83.772	3.222
93.754	3.312
105.82	2.766
112.668	2.51
121.753	2.889
134.702	2.876
147.651	2.007
158.684	2.59
167.6	3.17
174.599	2.163
184.582	2.084
193.498	2.856
207.497	2.089
219.397	2.101
229.38	2.254
242.329	2.353
254.395	2.143
268.242	2.824
279.26	2.118
291.326	2.34
299.209	2.889
304.123	2.423
315.124	2.91
322.124	1.917
331.057	2.321
341.023	3.066
353.106	3.304
363.955	2.751
376.919	2.779
387.92	2.169
399.851	3.743
406.836	2.126
413.835	3.071
420.834	1.879
426.784	2.569
432.733	2.741
443.75	2.019
451.648	2.217
460.733	2.661
467.732	5
478.581	4.389
490.647	2.706
502.546	2.055
508.496	2.337
514.461	3.668
522.495	2.378
532.478	2.38
539.478	2.827
547.36	2.193
559.426	2.511
565.376	1.921
573.259	2.262
586.375	1.89
