onset	duration
7.016	3.782
22.922	4.116
39.882	4.1
51.856	5.19
69.829	6.873
81.802	3.108
97.762	3.18
114.736	6.454
127.709	5.177
142.682	5.132
161.642	2.276
178.616	5.894
195.589	2.257
214.562	7.46
234.522	5.756
253.496	2.23
264.469	2.881
275.442	2.9
287.402	4.06
297.376	4.542
313.349	3.097
330.322	2.3
347.282	3.196
360.256	5.126
378.229	5.041
390.202	6.036
407.162	2.572
422.135	4.311
433.109	3.841
446.082	5.396
460.042	8.988
478.015	4.695
489.989	3.849
506.962	3.012
522.922	3.02
535.895	8.663
550.869	9.169
569.842	2.612
580.802	8.284
590.775	2.991
