onset	duration
7.025	2.52
15.925	2.404
20.891	2.006
33.857	2.448
48.839	2.402
62.805	1.924
69.771	1.63
83.737	1.216
93.72	3.265
105.686	1.923
112.652	1.749
121.618	1.455
134.6	1.129
147.566	1.475
158.532	1.397
167.498	2.455
174.481	1.304
184.447	1.45
193.413	2.108
207.379	2.214
219.362	2.311
229.328	2.169
242.293	1.148
254.259	1.694
268.242	2.151
279.208	3.537
291.174	2.699
299.14	2.357
304.123	3.406
315.089	2.632
322.055	4.194
331.021	3.94
341.004	1.853
352.97	1.719
363.936	1.753
376.901	1.684
387.884	2.333
399.85	1.255
406.816	1.521
413.782	1.587
420.765	1.356
426.732	2.237
432.698	1.983
443.664	1.409
451.647	1.946
460.613	1.5
467.579	1.582
478.545	1.768
490.527	3.37
502.493	2.892
508.46	5
514.459	1.518
522.425	1.24
532.408	1.537
539.374	1.659
547.34	1.389
559.306	1.287
565.289	1.488
573.255	1.337
586.221	1.172
