onset	duration
7.014	6.285
22.913	4.154
39.895	3.843
51.861	4.054
69.827	4.744
88.809	6.634
103.775	3.763
119.74	6.446
131.706	6.225
147.688	7.459
164.654	10
177.653	4.997
192.635	6.215
211.601	5.833
228.566	8.78
245.549	6.445
256.515	3.471
267.481	3.225
279.43	5.932
292.412	6.974
305.378	8.288
322.344	5.642
339.326	4.524
352.292	6.31
370.257	3.913
382.223	7.075
399.189	5.629
414.171	2.887
425.137	4.001
438.103	4.371
452.069	4.245
470.034	5.144
482.017	5.801
498.966	2.732
514.948	4.086
525.914	4.288
540.88	4.45
558.845	5.133
575.827	5.199
586.793	2.985
