onset	duration
7	3.45
15.9	2.374
22.882	3.536
30.849	2.993
42.814	2.46
46.781	3.909
53.764	2.214
63.73	1.544
70.696	1.642
82.662	3.812
87.645	1.253
98.611	4
111.61	1.728
120.576	1.642
126.559	2.499
132.525	1.893
143.491	1.591
155.457	1.673
167.44	2.802
172.406	1.58
176.373	1.317
185.339	1.175
195.321	1.489
202.288	2.13
207.254	2.62
218.22	2.342
225.203	2.151
233.169	1.449
240.135	2.267
244.102	1.308
249.085	2.269
253.051	1.823
260.017	1.961
268.983	1.435
273.966	1.764
282.932	1.462
290.899	1.727
295.865	1.337
300.848	1.746
308.814	1.276
321.78	2.206
326.763	1.407
331.729	1.129
336.696	2.218
348.662	2.82
357.644	1.214
363.611	1.191
368.577	1.401
375.543	2.011
385.526	2.22
392.492	1.518
405.458	1.856
410.441	2.457
423.407	2.179
432.373	1.149
438.339	2.455
448.322	1.92
461.288	2.418
472.254	1.668
480.22	1.574
485.203	1.655
492.169	1.777
498.135	2.011
509.118	1.26
516.084	2.15
524.05	1.84
529.017	2.457
536.999	1.155
549.965	1.581
561.931	1.391
565.914	1.456
579.88	1.114
589.846	1.908
600.812	1.15
